Response ID,Age Group,Gender,Industry,Years of Experience,Current Work Arrangement,Have you ever experienced working from home?,Do you think that working from home increases your work productivity?,Do you think that working from home prevents you from going out?,Do you think that working from home gives you more flexibility?,Do you think that working from home saves you more time?,"Which work type has the potential to cause you physical problems, such as the neck, back, and leg pain?","Which work type has the potential to cause mental disorders, such as stress, anxiety, and depression?",Do you think that working from home prevents you from getting in contact with people?,Which work type keeps you focused while working?,Which work type do you prefer the most?
1,45–54,Male,Government,11–20 years,Fully In-Office,Yes,No,No,Yes,Yes,Working from home,Working in an office,No,Working in an office,Working in an office
2,25–34,Male,Education,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
3,45–54,Male,Other,3–5 years,Fully In-Office,No,No,No,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working from home
4,35–44,Male,Retail/Hospitality,11–20 years,Fully Remote,Yes,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
5,18–24,Female,Technology,0–2 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,No,Working from home,A mixed mode of working
6,55+,Male,Other,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working from home
7,45–54,Female,Education,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
8,45–54,Male,Technology,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
9,18–24,Female,Technology,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working from home
10,25–34,Male,Retail/Hospitality,11–20 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
11,25–34,Female,Technology,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
12,55+,Female,Healthcare,20+ years,Fully Remote,Yes,Yes,Yes,No,Yes,Working in an office,Working from home,Yes,Working from home,Working in an office
13,35–44,Male,Technology,11–20 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
14,45–54,Female,Education,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
15,25–34,Male,Education,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working in an office,Yes,Working in an office,Working in an office
16,25–34,Male,Finance,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working in an office
17,35–44,Female,Healthcare,20+ years,Fully Remote,No,No,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
18,18–24,Female,Technology,0–2 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
19,45–54,Male,Finance,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,Working in an office
20,35–44,Male,Education,3–5 years,Fully In-Office,No,No,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
21,45–54,Female,Retail/Hospitality,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working from home,Working from home
22,25–34,Female,Technology,11–20 years,Fully Remote,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
23,55+,Non-binary/Other,Technology,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working in an office
24,45–54,Female,Healthcare,6–10 years,Fully In-Office,No,No,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
25,45–54,Female,Education,3–5 years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
26,25–34,Male,Education,3–5 years,Fully In-Office,No,Yes,Yes,No,No,Working in an office,Working in an office,Yes,Working in an office,Working in an office
27,35–44,Female,Government,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,A mixed mode of working
28,18–24,Male,Education,11–20 years,Hybrid,No,No,No,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
29,25–34,Female,Finance,6–10 years,Hybrid,No,Yes,No,Yes,Yes,Working from home,Working in an office,Yes,Working from home,A mixed mode of working
30,35–44,Male,Finance,6–10 years,Fully In-Office,No,Yes,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
31,45–54,Female,Technology,11–20 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working in an office,Yes,Working from home,Working in an office
32,55+,Female,Finance,0–2 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,Working in an office
33,25–34,Female,Healthcare,3–5 years,Hybrid,Yes,Yes,No,Yes,Yes,Working from home,Working from home,No,Working in an office,Working in an office
34,25–34,Female,Education,3–5 years,Hybrid,No,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working in an office
35,35–44,Male,Technology,20+ years,Fully Remote,Yes,Yes,No,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
36,25–34,Female,Government,11–20 years,Hybrid,No,No,Yes,Yes,No,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
37,18–24,Male,Other,6–10 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,No,Working in an office,Working in an office
38,35–44,Male,Technology,0–2 years,Fully In-Office,Yes,No,Yes,Yes,No,Working in an office,Working from home,No,Working from home,A mixed mode of working
39,25–34,Male,Finance,3–5 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
40,35–44,Male,Government,11–20 years,Fully In-Office,No,Yes,No,Yes,No,Working from home,Working from home,Yes,Working in an office,Working from home
41,25–34,Male,Healthcare,6–10 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
42,45–54,Female,Government,20+ years,Fully In-Office,Yes,No,Yes,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
43,35–44,Female,Retail/Hospitality,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
44,25–34,Female,Other,6–10 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
45,45–54,Male,Other,11–20 years,Hybrid,Yes,No,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
46,45–54,Male,Technology,20+ years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
47,25–34,Male,Education,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working from home,Working from home
48,25–34,Female,Finance,11–20 years,Fully Remote,Yes,Yes,No,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
49,35–44,Female,Technology,20+ years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working from home,A mixed mode of working
50,18–24,Male,Healthcare,3–5 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working from home,Working in an office
51,25–34,Female,Other,20+ years,Fully In-Office,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,Working in an office
52,18–24,Male,Technology,0–2 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working from home,A mixed mode of working
53,45–54,Male,Education,11–20 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
54,35–44,Male,Government,11–20 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
55,35–44,Male,Healthcare,6–10 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,No,Working in an office,Working in an office
56,45–54,Female,Education,6–10 years,Fully In-Office,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,Working in an office
57,25–34,Female,Other,6–10 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
58,35–44,Male,Education,3–5 years,Fully In-Office,Yes,Yes,Yes,No,No,Working from home,Working in an office,No,Working in an office,A mixed mode of working
59,18–24,Female,Technology,3–5 years,Hybrid,Yes,Yes,Yes,Yes,No,Working in an office,Working from home,Yes,Working in an office,A mixed mode of working
60,18–24,Female,Technology,3–5 years,Fully In-Office,No,No,Yes,Yes,No,Working from home,Working in an office,Yes,Working in an office,Working in an office
61,35–44,Female,Other,6–10 years,Fully In-Office,No,Yes,No,No,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
62,35–44,Female,Healthcare,6–10 years,Fully In-Office,Yes,No,Yes,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
63,35–44,Male,Finance,3–5 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
64,45–54,Female,Technology,20+ years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,A mixed mode of working
65,35–44,Male,Education,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,Working from home
66,35–44,Non-binary/Other,Other,6–10 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working from home,A mixed mode of working
67,35–44,Male,Finance,6–10 years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,No,Working in an office,A mixed mode of working
68,25–34,Female,Other,3–5 years,Fully In-Office,No,No,Yes,Yes,No,Working in an office,Working from home,No,Working in an office,Working in an office
69,18–24,Male,Healthcare,11–20 years,Fully In-Office,No,Yes,Yes,Yes,No,Working from home,Working from home,Yes,Working in an office,A mixed mode of working
70,25–34,Male,Finance,6–10 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working in an office,Working from home
71,25–34,Female,Other,0–2 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working in an office,No,Working from home,A mixed mode of working
72,25–34,Female,Education,20+ years,Hybrid,No,Yes,No,Yes,Yes,Working from home,Working in an office,No,Working from home,Working from home
73,45–54,Male,Healthcare,11–20 years,Hybrid,No,Yes,Yes,Yes,No,Working in an office,Working in an office,Yes,Working in an office,Working in an office
74,25–34,Female,Other,11–20 years,Fully Remote,Yes,No,Yes,Yes,Yes,Working in an office,Working from home,Yes,Working in an office,Working from home
75,18–24,Female,Education,11–20 years,Fully Remote,Yes,Yes,Yes,Yes,No,Working from home,Working from home,No,Working in an office,A mixed mode of working
76,25–34,Male,Finance,20+ years,Hybrid,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
77,25–34,Female,Other,3–5 years,Hybrid,Yes,No,Yes,Yes,No,Working from home,Working from home,Yes,Working from home,A mixed mode of working
78,35–44,Female,Technology,6–10 years,Hybrid,No,No,Yes,Yes,Yes,Working from home,Working from home,Yes,Working in an office,Working from home
79,35–44,Female,Healthcare,6–10 years,Fully Remote,No,No,Yes,Yes,Yes,Working from home,Working in an office,Yes,Working in an office,Working in an office
80,45–54,Male,Technology,3–5 years,Hybrid,No,Yes,Yes,Yes,No,Working from home,Working from home,No,Working in an office,Working in an office
81,35–44,Male,Education,3–5 years,Hybrid,Yes,Yes,No,Yes,No,Working from home,Working in an office,No,Working from home,A mixed mode of working
82,25–34,Female,Technology,0–2 years,Fully Remote,Yes,Yes,Yes,Yes,Yes,Working from home,Working from home,Yes,Working from home,Working from home
83,45–54,Female,Retail/Hospitality,11–20 years,Fully In-Office,No,No,No,Yes,No,Working from home,Working in an office,Yes,Working in an office,A mixed mode of working
